(6261, 71998)
(6261, 28089)
(6261, 95522)
(6261, 109668)
(6261, 33219)
(6261, 76117)
(6261, 75851)
(6261, 42104)
(6261, 15790)
(6261, 71007)
(4520, 101581)
(4520, 55599)
(4520, 19129)
(4520, 61439)
(4520, 35362)
(4520, 36120)
(4520, 95593)
(4520, 60763)
(4520, 6187)
(4520, 96885)
(4282, 87810)
(4282, 43640)
(4282, 98236)
(4282, 36662)
(4282, 50341)
(4282, 87323)
(4282, 31956)
(4282, 15498)
(4282, 52921)
(4282, 99066)
(4280, 53536)
(4280, 46211)
(4280, 16780)
(4280, 82584)
(4280, 56891)
(4280, 11030)
(4280, 9048)
(4280, 87497)
(4280, 62125)
(4280, 29744)
(6423, 26964)
(6423, 18989)
(6423, 3328)
(6423, 79233)
(6423, 105221)
(6423, 16249)
(6423, 77221)
(6423, 18480)
(6423, 106236)
(6423, 53783)
(4284, 14806)
(4284, 37836)
(4284, 30630)
(4284, 30017)
(4284, 71688)
(4284, 20936)
(4284, 25137)
(4284, 33095)
(4284, 17462)
(4284, 8766)
(4505, 18875)
(4505, 85361)
(4505, 20607)
(4505, 99623)
(4505, 618)
(4505, 99766)
(4505, 6318)
(4505, 77762)
(4505, 23007)
(4505, 28068)
(6421, 65305)
(6421, 32851)
(6421, 39805)
(6421, 44670)
(6421, 28696)
(6421, 49677)
(6421, 32319)
(6421, 256)
(6421, 108827)
(6421, 41953)
(6300, 106717)
(6300, 106228)
(6300, 17449)
(6300, 39333)
(6300, 22535)
(6300, 9874)
(6300, 53866)
(6300, 13975)
(6300, 62647)
(6300, 59865)
(6426, 67043)
(6426, 63863)
(6426, 84362)
(6426, 31279)
(6426, 56437)
(6426, 4888)
(6426, 75810)
(6426, 347)
(6426, 4023)
(6426, 100824)
(4281, 61929)
(4281, 21750)
(4281, 104960)
(4281, 32340)
(4281, 12428)
(4281, 95679)
(4281, 48710)
(4281, 75822)
(4281, 82340)
(4281, 32844)
(4283, 63554)
(4283, 25249)
(4283, 76251)
(4283, 26722)
(4283, 57160)
(4283, 34359)
(4283, 14645)
(4283, 31300)
(4283, 33095)
(4283, 76824)
(4385, 7771)
(4385, 14479)
(4385, 28536)
(4385, 58994)
(4385, 33924)
(4385, 7945)
(4385, 101905)
(4385, 22594)
(4385, 69796)
(4385, 28773)
(4521, 27668)
(4521, 30754)
(4521, 35755)
(4521, 44221)
(4521, 65156)
(4521, 71196)
(4521, 20139)
(4521, 83117)
(4521, 85406)
(4521, 11673)
(1665, 84684)
(1665, 2740)
(1665, 72680)
(1665, 71999)
(1665, 23695)
(1665, 55852)
(1665, 67593)
(1665, 8011)
(1665, 79110)
(1665, 32649)
(4267, 37933)
(4267, 38233)
(4267, 36580)
(4267, 41020)
(4267, 45333)
(4267, 70704)
(4267, 98200)
(4267, 105624)
(4267, 7253)
(4267, 27283)
(7146, 101799)
(7146, 284)
(7146, 5686)
(7146, 20008)
(7146, 73860)
(7146, 55324)
(7146, 55722)
(7146, 19996)
(7146, 8809)
(7146, 73527)
(7205, 89131)
(7205, 58173)
(7205, 58812)
(7205, 10090)
(7205, 20046)
(7205, 2248)
(7205, 50358)
(7205, 70830)
(7205, 92278)
(7205, 23001)
(6183, 538)
(6183, 70190)
(6183, 19946)
(6183, 55282)
(6183, 32678)
(6183, 79312)
(6183, 70288)
(6183, 78457)
(6183, 58573)
(6183, 97343)
(6806, 28286)
(6806, 77770)
(6806, 56430)
(6806, 3021)
(6806, 65849)
(6806, 54565)
(6806, 233)
(6806, 29229)
(6806, 6356)
(6806, 73754)
(6427, 35475)
(6427, 4451)
(6427, 53188)
(6427, 74246)
(6427, 90781)
(6427, 38839)
(6427, 17779)
(6427, 17692)
(6427, 6672)
(6427, 105724)
(6952, 105956)
(6952, 88854)
(6952, 58978)
(6952, 41601)
(6952, 60049)
(6952, 5970)
(6952, 6084)
(6952, 85972)
(6952, 43861)
(6952, 84336)
(856, 61128)
(856, 97446)
(856, 533)
(856, 5803)
(856, 60496)
(856, 68410)
(856, 61855)
(856, 33259)
(856, 75866)
(856, 4795)
(562, 30689)
(562, 90274)
(562, 57996)
(562, 34351)
(562, 4275)
(562, 12173)
(562, 7797)
(562, 67133)
(562, 95283)
(562, 7694)
(1535, 29319)
(1535, 96304)
(1535, 12865)
(1535, 21866)
(1535, 80166)
(1535, 2079)
(1535, 50996)
(1535, 102760)
(1535, 30269)
(1535, 74242)
(11238, 52885)
(11238, 82428)
(11238, 86674)
(11238, 47514)
(11238, 23986)
(11238, 40879)
(11238, 68934)
(11238, 47077)
(11238, 58270)
(11238, 75588)
(5957, 68602)
(5957, 2619)
(5957, 14560)
(5957, 55485)
(5957, 60320)
(5957, 19394)
(5957, 99092)
(5957, 15779)
(5957, 90111)
(5957, 83900)
(6281, 1161)
(6281, 98761)
(6281, 42826)
(6281, 27500)
(6281, 41203)
(6281, 7241)
(6281, 23294)
(6281, 15050)
(6281, 34769)
(6281, 10138)
(7208, 43069)
(7208, 97922)
(7208, 15243)
(7208, 18562)
(7208, 15803)
(7208, 53118)
(7208, 56994)
(7208, 86299)
(7208, 106194)
(7208, 68112)
(6139, 65726)
(6139, 9889)
(6139, 47144)
(6139, 867)
(6139, 65122)
(6139, 45286)
(6139, 70587)
(6139, 27037)
(6139, 106)
(6139, 5685)
